1-Orange,2-Blackberry,3-Strawberry,4-Pineapple
1-Smoke,2-Glue,3-Leather,4-Grass
1-Honey,2-Vanilla,3-Chocolate,4-Cinnamon
1-Chives,2-Mint,3-Spruce,4-Onion
1-Coconut,2-Banana,3-Walnut,4-Cherry
1-Peach,2-Apple,3-Lemon,4-Grapefruit
1-Licorice,2-Gummy Bear,3-Chewing Gum,4-Biscuits
1-Mustard,2-Gum,3-Menthol,4-Turpentine
1-Onion,2-Sauerkraut,3-Garlic,4-Carrots
1-Cigarette,2-Coffee,3-Wine,4-Candle Smoke
1-Melon,2-Peach,3-Orange,4-Apple
1-Clove,2-Pepper,3-Cinnamon,4-Mustard
1-Pear,2-Plum,3-Peach,4-Pineapple
1-Chamomile,2-Raspberry,3-Rose,4-Cherry
1-Anise,2-Rum,3-Honey,4-Spruce
1-Bread,2-Fish,3-Cheese,4-Ham