1-Gasoline,2-Pizza,3-Peanuts,4-Lilac
1-Dill pickle,2-Bubble gum,3-Wintergreen,4-Watermelon
1-Tomato,2-Licorice,3-Strawberry,4-Menthol
1-Whiskey,2-Honey,3-Lime,4-Cherry
1-Grass,2-Pizza,3-Motor oil,4-Pineapple
1-Skunk,2-Mint,3-Fruit punch,4-Cola
1-Banana,2-Garlic,3-Cherry,4-Motor oil
1-Licorice,2-Clove,3-Chili,4-Banana
1-Clove,2-Lilac,3-Leather,4-Apple
1-Skunk,2-Coconut,3-Cedar,4-Honey
1-Chocolate,2-Banana,3-Onion,4-Fruit punch
1-Soap,2-Fruit punch,3-Menthol,4-Pumpkin pie
1-Licorice,2-Pineapple,3-Cheddar cheese,4-Cherry
1-Paint thinner,2-Cherry,3-Coconut,4-Cheddar cheese
1-Cola,2-Cinnamon,3-Pine,4-Coconut
1-Rose,2-Lemon,3-Peach,4-Gasoline
1-Strawberry,2-Dill pickle,3-Chocolate,4-Cedar
1-Cedar,2-Gasoline,3-Lemon,4-Root beer
1-Lemon,2-Chocolate,3-Root beer,4-Black pepper
1-Menthol,2-Apple,3-Gingerbread,4-Cheddar cheese
1-Lilac,2-Chili,3-Coconut,4-Whiskey
1-Turpentine,2-Soap,3-Skunk,4-Chili
1-Chocolate,2-Peach,3-Leather,4-Pizza
1-Root beer,2-Watermelon,3-Banana,4-Smoke
1-Pineapple,2-Dill pickle,3-Root beer,4-Black pepper
1-Smoke,2-Whiskey,3-Pineapple,4-Onion
1-Musk,2-Garlic,3-Turpentine,4-Lime
1-Cheddar cheese,2-Orange,3-Bubble gum,4-Turpentine
1-Lime,2-Wintergreen,3-Pumpkin pie,4-Leather
1-Chili,2-Menthol,3-Orange,4-Watermelon
1-Watermelon,2-Peanut,3-Rose,4-Paint thinner
1-Mint,2-Gingerbread,3-Grass,4-Strawberry
1-Dill pickle,2-Grass,3-Smoke,4-Peach
1-Pine,2-Smoke,3-Lilac,4-Orange
1-Pizza,2-Turpentine,3-Clove,4-Grape
1-Motor oil,2-Pumpkin pie,3-Rose,4-Lemon
1-Soap,2-Black pepper,3-Licrolice,4-Peanut
1-Orange,2-Musk,3-Cola,4-Natural gas
1-Lime,2-Rose,3-Mint,4-Bubble gum
1-Peanut,2-Lemon,3-Apple,4-Root beer